VideoID;Réalisateurs;SourceURL;Note
1;Shawn Levy;https://www.imdb.com/title/tt6263850/;
33;René Goscinny | Albert Uderzo;https://www.imdb.com/title/tt0062687/;
34;Peter Jackson;https://www.imdb.com/title/tt0120737/;
36;Daniel Kwan | Daniel Scheinert;https://www.imdb.com/title/tt6710474/;
37;Brett Ratner;https://www.imdb.com/title/tt0120812/;
42;Peter Jackson;https://www.imdb.com/title/tt0167260/;
63;Peter Jackson;https://www.imdb.com/title/tt0167261/;
67;Fede Alvarez;https://www.imdb.com/title/tt18412256/;
68;Ridley Scott;https://www.imdb.com/title/tt0078748/;
69;James Cameron;https://www.imdb.com/title/tt0090605/;
79;Gene Quintano;https://www.imdb.com/title/tt0107659/;
80;Gérard Pirès;https://www.imdb.com/title/tt0374627/;
81;Tim Miller;https://www.imdb.com/title/tt1431045/;
82;David Leitch;https://www.imdb.com/title/tt5463162/;
83;Justin Lin;https://www.imdb.com/title/tt0463985/;
100;Brett Ratner;https://www.imdb.com/title/tt0293564/;
101;Brett Ratner;https://www.imdb.com/title/tt0266915/;
102;Jean-Pierre Jeunet;https://www.imdb.com/title/tt0118583/;
103;David Fincher;https://www.imdb.com/title/tt0103644/;
104;Ridley Scott;https://www.imdb.com/title/tt1446714/;
105;Kelly Marcel;https://www.imdb.com/title/tt16366836/;
106;Guillermo del Toro;https://www.imdb.com/title/tt1663662/;
107;Stanley Kubrick;https://www.imdb.com/title/tt0081505/;
108;John Carpenter;https://www.imdb.com/title/tt0084787/;
109;Ridley Scott;https://www.imdb.com/title/tt2316204/;
110;Lana Wachowski | Lilly Wachowski;https://www.imdb.com/title/tt0234215/;
111;Lana Wachowski | Lilly Wachowski;https://www.imdb.com/title/tt0133093/;
112;Choi Dong-hoon;https://www.imdb.com/title/tt20168564/;
113;Gérard Krawczyk;https://www.imdb.com/title/tt0281364/;
114;Russell Mulcahy;https://www.imdb.com/title/tt0091203/;
115;Peter Jackson;https://www.imdb.com/title/tt2310332/;
116;Chloé Zhao;https://www.imdb.com/title/tt9032400/;
117;Peter Jackson;https://www.imdb.com/title/tt1170358/;
118;Peter Jackson;https://www.imdb.com/title/tt0903624/;
119;Paul Verhoeven;https://www.imdb.com/title/tt0093870/;
120;Jim Abrahams;https://www.imdb.com/title/tt0102059/;
122;Joss Whedon;https://www.imdb.com/title/tt0848228/;
170;Kazuhiro Furuhashi | Takashi Katagiri;https://www.imdb.com/title/tt26684398/;
183;Marco Brambilla;https://www.imdb.com/title/tt0106697/;
184;Jaume Collet-Serra;https://www.imdb.com/title/tt6443346/;
206;Makoto Shinkai;https://www.imdb.com/title/tt16428256/;
419;Carlos Saldanha;https://www.imdb.com/title/tt0438097/;
422;Michael Thurmeier | Galen T. Chu;https://www.imdb.com/title/tt3416828/;
423;Alexandre Astier;https://www.allocine.fr/film/fichefilm-248191/casting/;
